"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47119099999","2021-01-01","37.2666666","126.9833333","35.0","SUWON, KS","  25.2"," 8","  17.0"," 8","1026.2"," 8","021.1"," 8","  9.4"," 8","  2.5"," 8","  4.9","999.9","  31.1","*","  13.3"," ","99.99"," ","999.9","001000"
"47119099999","2021-01-02","37.2666666","126.9833333","35.0","SUWON, KS","  22.6"," 8","   6.8"," 8","1031.8"," 8","026.6"," 8"," 12.4"," 8","  4.6"," 8","  8.7","999.9","  30.2","*","  14.4","*"," 0.00","I","999.9","000000"
"47119099999","2021-01-03","37.2666666","126.9833333","35.0","SUWON, KS","  22.0"," 8","  10.2"," 8","1034.5"," 8","029.2"," 8"," 11.6"," 8","  2.7"," 8","  5.1","999.9","  30.7","*","  13.8"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-04","37.2666666","126.9833333","35.0","SUWON, KS","  28.4"," 8","  18.9"," 8","1030.3"," 8","025.2"," 8","  9.6"," 8","  3.0"," 8","  5.1","999.9","  32.9","*","  13.3"," ","99.99"," ","999.9","001000"
"47119099999","2021-01-05","37.2666666","126.9833333","35.0","SUWON, KS","  19.4"," 8","   4.5"," 8","1030.6"," 8","025.4"," 8"," 12.4"," 8","  4.9"," 8","  9.9","999.9","  25.9","*","   9.9","*"," 0.00","I","999.9","000000"
"47119099999","2021-01-06","37.2666666","126.9833333","35.0","SUWON, KS","  18.1"," 8","   4.9"," 8","1023.3"," 8","018.1"," 8","  9.5"," 8","  6.8"," 8"," 15.9","999.9","  26.2","*","   5.5","*"," 0.12","E","999.9","001000"
"47119099999","2021-01-07","37.2666666","126.9833333","35.0","SUWON, KS","   5.5"," 8","  -8.2"," 8","1027.7"," 8","022.3"," 8"," 12.4"," 8","  6.8"," 8","  9.7","999.9","  10.0","*","   0.1","*"," 0.12","E","999.9","000000"
"47119099999","2021-01-08","37.2666666","126.9833333","35.0","SUWON, KS","   6.1"," 8","  -7.0"," 8","1025.5"," 8","020.1"," 8"," 12.4"," 8","  3.6"," 8","  7.0","999.9","  12.4","*","  -1.1"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-09","37.2666666","126.9833333","35.0","SUWON, KS","   9.9"," 8","  -0.5"," 8","1026.5"," 8","021.2"," 8"," 11.3"," 8","  2.9"," 8","  6.0","999.9","  17.6","*","  -1.5"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-10","37.2666666","126.9833333","35.0","SUWON, KS","  17.8"," 8","   8.9"," 8","1029.0"," 8","023.8"," 8"," 10.1"," 8","  1.9"," 8","  2.9","999.9","  25.7","*","   1.8"," ","99.99"," ","999.9","001000"
"47119099999","2021-01-11","37.2666666","126.9833333","35.0","SUWON, KS","  19.5"," 8","  13.4"," 8","1024.7"," 8","019.5"," 8","  6.9"," 8","  1.5"," 8","  2.9","999.9","  25.0","*","   9.5"," "," 0.00","E","999.9","000000"
"47119099999","2021-01-12","37.2666666","126.9833333","35.0","SUWON, KS","  27.3"," 8","  24.7"," 8","1016.9"," 8","011.9"," 8","  3.5"," 8","  2.3"," 8","  5.1","999.9","  32.9","*","  12.2"," "," 0.08","E","999.9","101000"
"47119099999","2021-01-13","37.2666666","126.9833333","35.0","SUWON, KS","  35.8"," 8","  29.8"," 8","1017.5"," 8","012.5"," 8","  6.9"," 8","  4.2"," 8","  9.7","999.9","  47.5","*","  23.2"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-14","37.2666666","126.9833333","35.0","SUWON, KS","  36.4"," 8","  19.4"," 8","1020.9"," 8","015.9"," 8"," 10.3"," 8","  3.5"," 8","  7.0","999.9","  45.0","*","  22.5"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-15","37.2666666","126.9833333","35.0","SUWON, KS","  37.2"," 8","  31.4"," 8","1017.9"," 8","012.9"," 8","  6.8"," 8","  5.9"," 8"," 11.7","999.9","  50.0","*","  25.2","*"," 0.00","I","999.9","000000"
"47119099999","2021-01-16","37.2666666","126.9833333","35.0","SUWON, KS","  21.6"," 8","  10.6"," 8","1028.2"," 8","023.0"," 8"," 11.0"," 8","  5.2"," 8","  8.7","999.9","  27.5","*","  14.0","*"," 0.00","I","999.9","000000"
"47119099999","2021-01-17","37.2666666","126.9833333","35.0","SUWON, KS","  25.1"," 8","  16.9"," 8","1025.6"," 8","020.5"," 8","  8.6"," 8","  2.9"," 8","  4.9","999.9","  28.4","*","  12.0"," ","99.99"," ","999.9","001000"
"47119099999","2021-01-18","37.2666666","126.9833333","35.0","SUWON, KS","  23.1"," 8","  12.6"," 8","1024.5"," 8","019.3"," 8","  9.9"," 8","  5.8"," 8"," 10.7","999.9","  33.1","*","  11.1","*"," 0.04","E","999.9","001000"
"47119099999","2021-01-19","37.2666666","126.9833333","35.0","SUWON, KS","  21.9"," 8","   6.4"," 8","1033.1"," 8","027.9"," 8"," 12.0"," 8","  1.9"," 8","  2.9","999.9","  29.3","*","  10.2"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-20","37.2666666","126.9833333","35.0","SUWON, KS","  35.3"," 8","  14.8"," 8","1028.7"," 8","023.6"," 8"," 11.7"," 8","  2.7"," 8","  6.8","999.9","  44.6","*","  16.5"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-21","37.2666666","126.9833333","35.0","SUWON, KS","  41.1"," 8","  36.1"," 8","1021.6"," 8","016.6"," 8","  4.0"," 8","  1.7"," 8","  4.1","999.9","  46.9"," ","  31.6"," "," 0.31","E","999.9","110000"
"47119099999","2021-01-22","37.2666666","126.9833333","35.0","SUWON, KS","  41.9"," 8","  40.8"," 8","1019.9"," 8","015.0"," 8","  4.9"," 8","  2.1"," 8","  3.9","999.9","  45.0","*","  37.8","*"," 0.04","E","999.9","000000"
"47119099999","2021-01-23","37.2666666","126.9833333","35.0","SUWON, KS","  46.7"," 8","  35.6"," 8","1021.3"," 8","016.4"," 8"," 12.4"," 8","  4.9"," 8","  8.0","999.9","  53.8","*","  35.4"," "," 0.00","I","999.9","000000"
"47119099999","2021-01-24","37.2666666","126.9833333","35.0","SUWON, KS","  43.0"," 8","  34.1"," 8","1027.2"," 8","022.2"," 8"," 11.0"," 8","  1.8"," 8","  6.0","999.9","  54.5","*","  34.2","*"," 0.00","I","999.9","000000"
